quote-room,2020-04-13 00:24:03.270300,Jude#0911,"""I have alex's feet pics"" George"
anime-discussion,2020-04-13 02:57:43.823774,Kingg#5318,https://youtu.be/W_ir_PGI5go
anime-discussion,2020-04-13 02:57:55.414491,Kingg#5318,God bless studio yuraki
mincraf,2020-04-13 13:45:53.794665,Jude#0911,`Serv3ert uo
mincraf,2020-04-13 13:45:57.475799,Jude#0911,up*
bot-commands,2020-04-13 15:29:36.501473,黒Eslo#5533,-play Hb queen bee
bot-commands,2020-04-13 15:29:39.116736,Kingg#5318,-play https://youtu.be/oxvSFOnALGk
bot-commands,2020-04-13 15:29:45.489306,黒Eslo#5533,-skip
bot-commands,2020-04-13 15:29:49.672928,Kingg#5318,-skip
bot-commands,2020-04-13 15:31:38.124687,黒Eslo#5533,-play https://open.spotify.com/track/4nxsKKEmb5Ichjj7QN0fHG?si=fcSCoHCtRv2Ds1tvHc7CZA
bot-commands,2020-04-13 15:31:40.427899,Kingg#5318,-play https://www.youtube.com/playlist?list=PLIjWj7VAkmbRZ2LMKiW2tT7bagilg_k7v
bot-commands,2020-04-13 15:35:52.235287,Kingg#5318,-shuffle
bot-commands,2020-04-13 15:46:56.016847,Kingg#5318,-skip
bot-commands,2020-04-13 15:51:14.851049,黒Eslo#5533,-play yuri on ice op full
gamer-room,2020-04-13 16:16:03.703445,Kingg#5318,
bot-commands,2020-04-13 16:33:10.104156,Kingg#5318,-stop
mincraf,2020-04-13 16:35:20.422416,Jude#0911,Server up
gamer-room,2020-04-13 17:35:09.078736,Atmoist🖤⚡❤#4167,Nice
spam,2020-04-13 19:25:33.410317,黒Eslo#5533,
spam,2020-04-13 19:26:29.994402,黒Eslo#5533,
spam,2020-04-13 19:28:35.130353,黒Eslo#5533,
spam,2020-04-13 19:28:48.825531,黒Eslo#5533,
anime-discussion,2020-04-13 19:34:14.088084,黒Eslo#5533,
anime-discussion,2020-04-13 19:35:46.253296,黒Eslo#5533,
bot-commands,2020-04-13 19:40:58.839706,黒Eslo#5533,-play millionare detective ending full
anime-discussion,2020-04-13 20:10:19.244903,Kingg#5318,
anime-discussion,2020-04-13 20:11:53.466880,黒Eslo#5533,gay
general-plebs,2020-04-14 01:20:37.442066,TimTahm#1408,
